Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
;;;Bahr;Daniel;1976;FDP;130;Nordrhein-Westfalen;8
;;;Bailey;Gabriele;1958;GRÜNE;112;;
;;;Balck;Dieter;1941;RENTNER;;Hamburg;1
;;;Balg;Torsten;1971;ödp;;Rheinland-Pfalz;17
;;;Balke;Dr. jur. Michael;1954;;144;;
;;;Balnat;Peter Manfred;1956;NPD;;Bremen;3
;;;Balzer;Regina Hildegard Käthe;1949;MLPD;;Sachsen;7
;;;Bangerter;Gero Heinrich;1983;FDP;145;Nordrhein-Westfalen;30
;;;Bannert;Stefan;1966;DIE LINKE;248;Bayern;18
;;;Bannert;Ulrich Gustav;1950;REP;;Bayern;25
;;;Baranski;Robin;1977;SPD;;Nordrhein-Westfalen;72
;;;Barchmann;Heinz-Joachim;1950;SPD;52;Niedersachsen;11
;;;Bareiß;Thomas;1975;CDU;295;;
;;;Bargmann;Rudolf Walter;1976;DVU;;Bremen;1
;;;Barnett;Doris;1953;SPD;208;Rheinland-Pfalz;3
;;;Barta;Daniel Lutz;1954;FDP;;Hamburg;7
;;;Bartels;Dr. Hans Peter;1961;SPD;5;Schleswig-Holstein;6
;;;Bartelt;Christian;1976;FDP;16;Mecklenburg-Vorpommern;4
;;;Barth;Cornelia;1958;DIE LINKE;;Bremen;7
;;;Barth;Edith;1935;SPD;;Saarland;29
;;;Barth;Steven;1988;PIRATEN;;Sachsen-Anhalt;2
;;;Barth;Volker;1962;CDU;;Baden-Württemberg;30
;;;Barthel;Klaus;1955;SPD;224;Bayern;5
;;;Barthle;Norbert;1952;CDU;269;;
;;;Bartholomäus;Uwe;1972;DVU;;Hamburg;3
;;;Bartholomé;Anna;1949;MLPD;;Rheinland-Pfalz;3
;;;Bartol;Sören;1974;SPD;172;;
;;;Bartsch;Dr. Dietmar;1958;DIE LINKE;13;Mecklenburg-Vorpommern;1
;;;Bas;Bärbel;1968;SPD;116;Nordrhein-Westfalen;35
;;;Baseler;Lothar;1935;NPD;22;Hamburg;3
;;;Bathon;Michael;1961;CDU;;Hessen;37
;;;Bauch;Annegret;1958;CDU;;Hessen;39
;;;Bauch;Matthias;1979;BP;;Bayern;8
;;;Bauer;Anneliese;1924;Volksabst.;;Baden-Württemberg;8
;;;Bauer;Emil;1953;MLPD;252;Bayern;4
;;;Bauer;Erich;1954;FDP;234;Bayern;53
;;;Bauer;Sebastian-Michael;1987;PIRATEN;;Baden-Württemberg;3
;;;Baum;Andreas;1978;PIRATEN;;Berlin;3
;;;Baum;Erika;1925;DKP;;Berlin;4
;;;Baumann;Helmut Günter;1947;CDU;165;;
;;;Baumgärtner;Dr. Albert;1955;NPD;279;;
;;;Baumgartner;Alfons;1944;BP;;Bayern;9
;;;Baumgartner;Roman;1982;CDU;;Baden-Württemberg;21
;;;Baur;Jens;1979;NPD;161;;
;;;Bayrak;Yusuf;1963;;83;;
;;;Bechert;Dr. Arthur;1964;CSU;;Bayern;55
;;;Beciri;Birgit;1962;Tierschutz;;Hessen;8
;;;Beck;Ernst-Reinhard;1945;CDU;289;;
;;;Beck;Jürgen;1955;;86;;
;;;Beck;Marieluise;1952;GRÜNE;55;Bremen;1
;;;Beck;Stefanie;1970;DIE LINKE;209;Rheinland-Pfalz;5
;;;Beck;Tobias;1985;FDP;;Rheinland-Pfalz;16
;;;Beck;Volker;1960;GRÜNE;95;Nordrhein-Westfalen;2
;;;Beck geb. Krauß;Claudia;1973;GRÜNE;297;;
;;;Becker;Alexander;1982;CDU;;Rheinland-Pfalz;39
;;;Becker;Bernd;1958;SPD;;Rheinland-Pfalz;31
;;;Becker;Burkhard;1954;NPD;137;;
;;;Becker;Dirk;1966;SPD;136;Nordrhein-Westfalen;33
;;;Becker;Kurt;1953;SPD;;Rheinland-Pfalz;28
;;;Becker-Lettow;Christa Lydia;1959;SPD;;Nordrhein-Westfalen;66
;;;Beckmann;Bert;1958;MLPD;;Mecklenburg-Vorpommern;4
;;;Beckmeyer;Uwe Karl;1949;SPD;56;Bremen;1
;;;Beekhuis;Jochen Heiner;1977;SPD;;Niedersachsen;42
;;;Beer;Maximilian;1966;CSU;;Bayern;54
;;;Beetz;Kirsten;1961;CDU;;Rheinland-Pfalz;36
;;;Befeldt;Peter;1955;SPD;;Niedersachsen;32
;;;Behlen;Jörg;1968;FDP;172;Hessen;17
;;;Behm;Cornelia;1951;GRÜNE;62;Brandenburg;1
;;;Behnke;Martin;1954;DIE LINKE;106;;
;;;Behrens;Hans-Peter;1961;GRÜNE;273;;
;;;Behrens;Heidemarie Elisabeth;1954;DIE LINKE;;Bremen;5
;;;Behrens;Herbert;1954;DIE LINKE;35;Niedersachsen;6
;;;Behrens;Manfred;1956;CDU;68;Sachsen-Anhalt;8
;;;Behrens;Matthias;1972;NPD;36;Niedersachsen;2
;;;Beier;Andreas;1971;;291;;
;;;Beier;Dr. Guido;1967;FDP;60;Brandenburg;3
;;;Beier;Klaus;1966;NPD;64;Brandenburg;1
;;;Beier;Mirko;1975;NPD;152;Sachsen;6
;;;Bellmann;Veronika Maria;1960;CDU;162;Sachsen;7
;;;Belzner;Michael;1948;REP;;Baden-Württemberg;8
