Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
;;;Conrad;Gabriele Maria;1960;MLPD;271;;
;;;Conrads;Anna;1979;DIE LINKE;;Nordrhein-Westfalen;19
;;;Conz;Michael;1966;FDP;258;Baden-Württemberg;17
;;;Cordes;Florian;1975;NPD;29;;
;;;Corné de;Walter;1944;Volksabst.;;Nordrhein-Westfalen;6
;;;Corr;Eva-Maria;1956;FAMILIE;;Rheinland-Pfalz;3
;;;Coscia;Lino;1988;;41;;
;;;Crämer;Thorsten;1975;NPD;139;;
;;;Cramon-Taubadel von;Viola;1970;GRÜNE;53;Niedersachsen;7
;;;Cremer;Claus;1979;NPD;141;Nordrhein-Westfalen;1
;;;Cremer-Ricken;Ruth;1958;GRÜNE;288;;
;;;Crone;Petra;1950;SPD;150;Nordrhein-Westfalen;12
;;;Croy;Corinna;1982;DIE LINKE;240;Bayern;17
;;;Cüre;Irfan;1952;DIE LINKE;;Hamburg;6
;;;Curlisca;Jaroslav;1953;BP;;Bayern;15
;;;Cwielong;Dieter;1957;DIE LINKE;3;;
;;;Czapp;Mechthild;1982;PIRATEN;;Nordrhein-Westfalen;4
;;;Czech;Michael;1955;DKP;;Berlin;10
;;;Czichon;Eberhard;1930;DKP;;Berlin;11
;;;Dabrock;Heinz;1956;FAMILIE;299;Saarland;1
;;;Dänzer;Margit;1955;VIOLETTEN;;Baden-Württemberg;6
;;;Däschner;Karl;1954;NPD;278;;
;;;Dagdelen;Sevim;1975;DIE LINKE;141;Nordrhein-Westfalen;7
;;;Dahl;Monika;1965;DIE LINKE;98;Nordrhein-Westfalen;17
;;;Dahlhoff;Benjamin;1978;GRÜNE;;Hessen;18
;;;Dahlmann;Thomas;1960;SPD;;Nordrhein-Westfalen;60
;;;Dahmen;Janosch;1981;GRÜNE;140;;
;;;Dalbert;Dr. Claudia;1954;GRÜNE;73;Sachsen-Anhalt;3
;;;Daldrup;Bernhard;1956;SPD;131;Nordrhein-Westfalen;18
;;;Dambacher;Michael;1979;CDU;;Baden-Württemberg;39
;;;Dammann;Adolf;1939;NPD;31;;
;;;Danckert;Dr. Peter;1940;SPD;63;Brandenburg;3
;;;Dannemann;Bernd;1944;FWD;;Brandenburg;4
;;;Dassler;Britta;1964;FDP;242;Bayern;30
;;;Daub;Helga;1942;FDP;149;Nordrhein-Westfalen;15
;;;Dauen;Gwenn Patrick;1980;PIRATEN;;Bremen;2
;;;Dauter;Horst;1943;;51;;
;;;Dautzenberg;Leo;1950;CDU;90;Nordrhein-Westfalen;54
;;;Daxlberger;Elfriede Katharina;1941;RRP;;Bayern;8
;;;De Filippi;Diego;1978;Tierschutz;;Baden-Württemberg;4
;;;Debrand;Christa;1944;FAMILIE;;Saarland;4
;;;Debus;Cornelia;1958;FDP;25;Niedersachsen;14
;;;Decker;Thomas Michael Matthias;1972;CDU;;Niedersachsen;41
;;;Dedecke;Wilhelm;1960;DIE LINKE;92;;
;;;Dehde;Klaus-Peter;1959;SPD;;Niedersachsen;34
;;;Dehm-Desoi;Dr. Jörg-Diether;1950;DIE LINKE;;Niedersachsen;1
;;;Deligöz;Ekin;1971;GRÜNE;255;Bayern;5
;;;Demele;Armin;1962;ödp;266;;
;;;Demuth;Erika;1982;CDU;;Rheinland-Pfalz;33
;;;Dennhoven;Hans Günter;1950;;110;;
;;;Denz;Christine;1948;GRÜNE;276;;
;;;Denzer;Theodor;1951;FDP;;Bayern;57
;;;Derabin;Paul;1988;CDU;;Niedersachsen;37
;;;Dere;Zeynep;1964;DIE LINKE;;Nordrhein-Westfalen;15
;;;Deter;Tilla-Louise;1961;FDP;283;Baden-Württemberg;23
;;;Dethlefsen;Knut Matthias;1969;SPD;;Schleswig-Holstein;14
;;;Dettmer;Wiltrud;1951;;67;;
;;;Dettweiler;Rudolf;1950;;81;;
;;;Detzler;Michael;1954;CDU;;Saarland;18
;;;Deubel;Holger;1980;NPD;202;;
;;;Deuschle;Andreas;1979;CDU;;Baden-Württemberg;22
;;;Deuschle;Ulrich;1952;REP;;Baden-Württemberg;2
;;;Deutsch;Paul;1951;MLPD;51;Niedersachsen;3
;;;Deutschmann;Reiner Peter;1953;FDP;157;Sachsen;4
;;;Dick;Arno;1962;SPD;;Niedersachsen;60
;;;Dicke;Veronika;1967;SPD;;Schleswig-Holstein;20
;;;Didlap;Dr. Charlotte;1965;;30;;
;;;Diebler;Jens;1966;FAMILIE;;Bayern;13
;;;Diebold;Gudrun;1956;ödp;292;;
;;;Dieckmann;Jan;1980;;102;;
;;;Dieckmann;Mali;1984;;94;;
;;;Dierbeck;Sandro;1975;FDP;162;;
;;;Dießner;Norman;1971;GRÜNE;176;Hessen;10
;;;Dietert;Edeltraud;1953;;212;;
;;;Dietrich;Klaus;1936;NPD;186;;
;;;Dietrich;Matthias;1971;ödp;290;Baden-Württemberg;6
;;;Dietrich;Rolf;1944;NPD;;Sachsen-Anhalt;7
;;;Diggance;Christina;1966;VIOLETTEN;;Baden-Württemberg;3
;;;Dilcher;Esther;1965;SPD;;Hessen;27
;;;Dillschneider;Dirk;1974;CDU;;Saarland;6
;;;Dimitrov;Michael;1973;FDP;108;Nordrhein-Westfalen;56
;;;Dinar;Erkan;1980;DIE LINKE;241;;
;;;Dippel;Konrad Willibald;1971;;235;;
;;;Dirks;Alfred;1951;DIE LINKE;;Niedersachsen;23
;;;Ditsche;Frank Holger Kurt;1966;;78;;
;;;Dittrich;Heidrun;1958;DIE LINKE;43;Niedersachsen;3
;;;Djir-Sarai;Dr. Bijan;1976;FDP;109;Nordrhein-Westfalen;13
;;;Dloczik;Dr. Larissa;1967;ödp;;Berlin;4
;;;Dobelmann;Josef;1957;GRÜNE;33;;
;;;Dobler;Wolfgang;1954;FDP;295;Baden-Württemberg;26
;;;Dobrindt;Alexander;1970;CSU;226;Bayern;5
;;;Döcke;Wolfgang;1954;FDP;69;;
;;;Döhring;Sebastian;1980;NPD;;Berlin;10
;;;Dören;Prof. Dr. Martina;1959;SPD;;Berlin;12
;;;Dörflinger;Thomas;1965;CDU;288;;
;;;Döring;Patrick;1973;FDP;43;Niedersachsen;5
;;;Döring;Waltraud;1952;ödp;;Thüringen;9
;;;Döring;Wilfried;1953;ödp;;Thüringen;13
;;;Dörken;Axel;1967;;132;;
;;;Dörken;Peter J.;1938;RRP;215;Bayern;14
;;;Dörlitz;Helmut;1963;DVU;;Hamburg;4
;;;Dörmann;Martin;1962;SPD;94;Nordrhein-Westfalen;54
;;;Dörner;Katja;1976;GRÜNE;97;Nordrhein-Westfalen;5
;;;Dörnhöfer;Uwe;1969;SPD;215;Bayern;44
;;;Dörr;Joachim;1968;SPD;;Saarland;22
;;;Döscher;Vera Nadja;1972;FDP;;Sachsen;5
;;;Dött;Marie-Luise;1953;CDU;118;Nordrhein-Westfalen;9
;;;Dohmen;Norbert;1951;GRÜNE;;Nordrhein-Westfalen;32
;;;Doll;Helmut-Hartwig;1948;DIE LINKE;31;;
;;;Doll;Pauli;1956;BP;226;;
;;;Domes;Norbert;1950;DIE LINKE;169;;
;;;Dormuth;Dennis;1980;NPD;130;;
;;;Dorn;Hubert;1956;BP;;Bayern;11
;;;Dorst;Bernd;1950;;241;;
;;;Dotten;Horst;1957;MLPD;120;;
;;;Dotzler;Thomas;1965;BP;236;Bayern;6
;;;Drage van;Alexander Ewald;1980;REP;;Bayern;13
;;;Dreblow;Wolf-Henry;1958;FDP;74;Sachsen-Anhalt;6
;;;Dreetz;Jochen;1956;GRÜNE;74;Sachsen-Anhalt;6
;;;Dreibus;Werner;1947;DIE LINKE;180;Hessen;4
;;;Dreischer;Dr. Artur;1928;Volksabst.;;Baden-Württemberg;1
;;;Drerup;Dr. Ulrich;1951;CDU;;Schleswig-Holstein;22
;;;Drescher;Max Jürgen;1968;FDP;;Rheinland-Pfalz;27
;;;Dressel;Dr. Carl-Christian;1970;SPD;238;Bayern;19
;;;Drewes;Hans-Joachim;1936;RRP;;Bremen;3
;;;Drexler;Gerhard;1964;FDP;227;Bayern;15
;;;Drinkard;Heidi;1946;NPD;262;;
;;;Drinkmann;Klaus Willy;1937;RENTNER;;Nordrhein-Westfalen;8
;;;Drinkmann;Waltraud Lotte;1954;RENTNER;;Nordrhein-Westfalen;11
;;;Drobinski-Weiß;Elvira;1951;SPD;284;Baden-Württemberg;11
;;;Drothler;Ute Regina;1969;ödp;222;Bayern;14
;;;Ducke;Kai-Uwe;1975;BüSo;166;Nordrhein-Westfalen;2
;;;Duda;Wolfgang Georg;1962;NPD;118;Nordrhein-Westfalen;16
;;;Duin;Garrelt;1968;SPD;25;Niedersachsen;1
;;;Dullinger;Angelica;1960;SPD;226;Bayern;26
;;;Dumberger;Andrea Brigitte;1957;MLPD;;Bayern;8
;;;Dumberger;Klaus;1964;MLPD;218;Bayern;1
;;;Dusper;Nina;1975;MLPD;;Nordrhein-Westfalen;26
;;;Duwe;Dr. Kurt Carlos;1951;FDP;24;Hamburg;3
;;;Dyckmans;Mechthild;1950;FDP;169;Hessen;5
;;;Dyhr;Thomas;1958;GRÜNE;60;Brandenburg;5
;;;Eberhard;Klaus-Peter;1962;FDP;8;Schleswig-Holstein;5
;;;Eberhard-Forschner;Dagmar;1953;MLPD;108;;
;;;Eberl;Dr. Christian;1954;FDP;53;;
;;;Eberle;Johann;1948;BP;;Bayern;16
;;;Ebert;Dieter;1955;REP;;Baden-Württemberg;16
;;;Ebner;Harald;1964;GRÜNE;268;Baden-Württemberg;12
;;;Eckenbach;Jutta;1952;CDU;120;Nordrhein-Westfalen;30
;;;Eckert;Michael;1981;;284;;
;;;Eckert van;René;1987;SPD;;Bayern;47
;;;Eckhardt;Hannelore;1954;SPD;;Hessen;22
;;;Eckler;Herbert;1931;BüSo;;Nordrhein-Westfalen;5
;;;Edathy;Sebastian;1969;SPD;41;Niedersachsen;15
;;;Effertz;Lars Oliver;1978;FDP;92;Nordrhein-Westfalen;40
;;;Eggers;Jürgen;1957;DIE LINKE;46;;
;;;Egloff;Ingo;1956;SPD;23;Hamburg;3
;;;Ehinger;Hasso;1940;DIE LINKE;267;;
;;;Ehnes;Hans-Joachim;1956;DIE LINKE;242;Bayern;10
;;;Ehrenberg;Hans-Werner;1952;FDP;148;Nordrhein-Westfalen;23
;;;Ehrhardt;Robert;1982;REP;;Sachsen;3
;;;Ehrl;Ewald;1961;NPD;234;;
;;;Ehrlich;Martina;1965;SPD;;Rheinland-Pfalz;19
;;;Ehrmann;Siegmund;1952;SPD;115;Nordrhein-Westfalen;53
;;;Ehrreich;Bernd;1972;NPD;299;;
;;;Eichhorst;Ulrich;1946;SPD;;Niedersachsen;39
;;;Eichler;Martin;1968;ödp;;Bayern;15
;;;Eichler;Rainer Hans;1950;REP;;Sachsen;9
;;;Eichstädt-Bohlig;Franziska;1941;GRÜNE;87;;
;;;Eicker;Hermann Josef Jupp;1949;MLPD;;Nordrhein-Westfalen;9
;;;Eickmeier;Andreas;1954;FDP;135;Nordrhein-Westfalen;32
;;;Eifler;Andreas;1955;MLPD;196;Thüringen;1
;;;Eifler;Manuela;1957;MLPD;;Thüringen;4
;;;Eigemeier;Ellen;1970;ödp;;Rheinland-Pfalz;4
;;;Eigen;Helmut;1955;DIE LINKE;143;Nordrhein-Westfalen;14
;;;Eigenfeld;Ulrich;1947;NPD;;Niedersachsen;1
;;;Eigenthaler;Egon;1938;REP;;Baden-Württemberg;7
;;;Einrauch;Gerhard Fritz;1929;REP;;Bremen;2
;;;Einsle;Toralf;1980;FDP;158;Sachsen;10
;;;Eisel;Dr. Stephan;1955;CDU;97;Nordrhein-Westfalen;38
;;;Eisele;Dietmar;1959;GRÜNE;125;;
;;;Eisold;Klaus Peter;1961;SPD;;Rheinland-Pfalz;30
;;;Eitel;Henrik;1977;CDU;;Saarland;7
;;;El-Hussein;Hanaa;1968;FDP;87;Berlin;6
;;;Ellendt;Dr. Andreas;1963;CDU;;Schleswig-Holstein;15
;;;Ellenrieder;Stefan;1961;BP;;Bayern;17
;;;Emcke;René;1977;PIRATEN;;Sachsen-Anhalt;1
;;;Enders;Raimund Karl;1953;FAMILIE;222;Bayern;7
;;;Endres;Thomas;1960;DIE LINKE;249;;
;;;Endriß;Leopold;1936;ADM;;Baden-Württemberg;10
;;;Engehausen;Franziska;1963;SPD;260;Baden-Württemberg;30
;;;Engel;Stefan Klaus;1954;MLPD;124;Nordrhein-Westfalen;2
;;;Engelen-Kefer;Dr. Ursula;1943;SPD;217;Bayern;30
;;;Engelhardt;Klaus Bruno;1953;DIE LINKE;239;;
;;;Engelmann;Sigurd Adolf;1936;NPD;246;;
;;;Engelmeier-Heite;Michaela Barbara;1960;SPD;100;Nordrhein-Westfalen;34
;;;Engels;Martin;1963;CDU;;Hessen;45
;;;Engels;Oliver;1969;FDP;;Rheinland-Pfalz;30
;;;Engels;Rainer;1963;NPD;101;;
;;;Engelschall;Christine;1965;Tierschutz;;Bayern;1
;;;Engert;Jan;1986;PIRATEN;;Saarland;6
;;;Englmeier;Gaby;1967;CSU;;Bayern;27
;;;Enkelmann;Dr. Dagmar;1956;DIE LINKE;60;Brandenburg;1
;;;Entinger;Horst;1944;RRP;;Saarland;3
;;;Eppler;Jürgen;1971;ADM;;Baden-Württemberg;9
;;;Erben;Birgit;1952;DIE LINKE;;Nordrhein-Westfalen;34
;;;Erdel;Rainer;1955;FDP;241;Bayern;14
;;;Erdmenger;Christoph;1970;GRÜNE;68;Sachsen-Anhalt;2
;;;Erkalp;David;1974;CDU;19;;
;;;Erkner;Frank;1966;FDP;30;Niedersachsen;23
;;;Erler;Gernot;1944;SPD;281;Baden-Württemberg;2
;;;Ermert;Wolfgang Manfred;1944;REP;;Rheinland-Pfalz;5
;;;Ernst;Klaus;1954;DIE LINKE;250;Bayern;1
;;;Ernstberger;Petra;1955;SPD;239;Bayern;4
;;;Eroglu;Engin;1982;GRÜNE;171;;
;;;Ertel;Mario;1963;NPD;157;;
;;;Ertel;Mario;1976;ödp;;Bayern;16
;;;Eschrich;Frank;1964;DIE LINKE;211;;
;;;Esken;Saskia;1961;SPD;280;Baden-Württemberg;28
;;;Essen van;Jörg;1947;FDP;146;Nordrhein-Westfalen;3
;;;Eßer;Hubert;1959;SPD;109;Nordrhein-Westfalen;46
;;;Etzel;Steffen;1950;DIE LINKE;176;;
;;;Eumann;Nina;1965;DIE LINKE;119;;
;;;Euscher;Dieter Walter Karl;1939;RRP;;Niedersachsen;1
;;;Evers-Meyer;Karin;1949;SPD;27;Niedersachsen;4
;;;Ewen;Adalbert Peter;1952;CDU;;Saarland;19
;;;Ewert;Monika;1940;REP;;Bayern;4
;;;Eymer;Anke;1949;CDU;11;Schleswig-Holstein;6
;;;Faber;Stefan;1951;NPD;217;Bayern;8
;;;Fabritius;Dr. Bernd-Bernhard;1965;CSU;;Bayern;32
;;;Fackler-Plump;Hannelore;1946;BüSo;252;Bayern;6
;;;Fähnemann;Ivette Annabell;1974;DVU;;Bremen;4
;;;Färber;Prof. Dr. Christine;1964;SPD;;Brandenburg;8
;;;Fahr;Daniel;1976;FDP;128;;
;;;Fahrner;Florian;1978;ödp;231;Bayern;6
;;;Faku;David;1986;BüSo;218;Bayern;8
;;;Faku;Tobias Christoph Mzingisi;1988;BüSo;143;Nordrhein-Westfalen;11
;;;Falk;Benno;1953;MLPD;;Mecklenburg-Vorpommern;5
;;;Falk;Markus;1970;FDP;200;Rheinland-Pfalz;7
;;;Falk;Peter;1964;SPD;216;Bayern;25
;;;Falke;Herbert;1956;GRÜNE;137;Nordrhein-Westfalen;30
;;;Farquhar;Rena;1974;FDP;261;;
;;;Faulhaber;Gabriele;1953;DIE LINKE;177;;
;;;Faust;Dirk;1971;FDP;72;Sachsen-Anhalt;5
;;;Faust;Dr. Hans-Georg;1948;CDU;53;Niedersachsen;17
;;;Faust;Matthias;1971;DVU;;Hamburg;1
;;;Fechner;Dr. Johannes;1972;SPD;283;Baden-Württemberg;24
;;;Fecke;Hanno;1962;SPD;2;Schleswig-Holstein;11
;;;Fegebank;Katharina;1977;GRÜNE;20;Hamburg;3
;;;Fehling;Thomas;1967;FDP;170;Hessen;19
;;;Fehlmann;Ralf;1957;FAMILIE;;Saarland;3
;;;Feike;Anette;1959;SPD;196;Thüringen;7
;;;Feike;Katharina;1976;SPD;16;Mecklenburg-Vorpommern;4
;;;Feiler;Uwe;1965;CDU;59;Brandenburg;6
;;;Feindt;Karin;1940;NPD;261;;
;;;Feist;Dr. Thomas Wolfgang;1965;CDU;154;;
;;;Felber;Konrad Kurt;1953;FDP;164;Sachsen;6
;;;Feldhaus;Thomas;1972;;84;;
;;;Feldmann;Dagmar;1963;FAMILIE;137;Nordrhein-Westfalen;4
;;;Feldmann;Thurid;1964;DIE LINKE;272;;
;;;Feldmayer;Martina;1964;GRÜNE;182;;
;;;Felgentreu;Dr. Fritz;1968;SPD;83;Berlin;8
;;;Fell;Dr. Bernd;1948;FDP;49;Niedersachsen;27
;;;Fell;Hans-Josef;1952;GRÜNE;248;Bayern;2
;;;Fellauer;Madeleine;1979;BüSo;;Sachsen;3
;;;Fendt;Peter;1950;BP;257;Bayern;18
;;;Fenner;Stefan;1958;FDP;;Hessen;41
;;;Ferger;Gisbert;1933;REP;;Bayern;21
;;;Ferlemann;Enak;1963;CDU;30;Niedersachsen;8
;;;Ferner;Elke;1958;SPD;296;Saarland;1
;;;Ferner;Wolfgang;1952;DIE LINKE;200;Rheinland-Pfalz;4
;;;Feuerstein;Dr. Stefan;1951;FDP;193;;
;;;Feyen;Alexander;1975;NPD;254;;
;;;Fickenwirth;Thomas;1954;FDP;214;Bayern;24
;;;Fiek;Sascha;1974;FDP;281;Baden-Württemberg;16
;;;Figge;Marion;1964;NPD;;Nordrhein-Westfalen;3
;;;Filippek;Josef;1949;DIE LINKE;150;Nordrhein-Westfalen;24
;;;Fimmel;Matthias;1971;;193;;
;;;Fimmen;Elke;1954;BüSo;;Baden-Württemberg;1
;;;Fimmen;Klaus;1956;BüSo;183;Hessen;7
;;;Findeisen;Jochen;1948;DIE LINKE;262;Baden-Württemberg;18
;;;Fingerle;Jan Niklas;1974;PIRATEN;;Saarland;1
;;;Fink-Hanebuth;Eva-Maria;1955;FDP;;Hessen;29
;;;Finke;Peter;1949;RENTNER;;Nordrhein-Westfalen;2
;;;Fischbach;Ingrid;1957;CDU;142;Nordrhein-Westfalen;6
;;;Fischer;Axel;1966;CDU;272;;
;;;Fischer;Christian;1982;NPD;;Niedersachsen;10
;;;Fischer;Christian;1979;PIRATEN;;Thüringen;4
;;;Fischer;Dr. Dietrich;1930;REP;;Nordrhein-Westfalen;7
;;;Fischer;Dirk Erik;1943;CDU;22;Hamburg;1
;;;Fischer;Harald;1960;FAMILIE;;Bayern;6
;;;Fischer;Hartwig;1948;CDU;54;Niedersachsen;10
;;;Fischer;Karl-Heinz;1952;REP;;Nordrhein-Westfalen;9
;;;Fischer;Lydia;1949;CDU;;Hamburg;8
;;;Fischer;Marcus;1964;FDP;120;Nordrhein-Westfalen;59
;;;Fischer;Markus;1964;FDP;269;Baden-Württemberg;34
;;;Fischer;Peter;1955;SPD;285;Baden-Württemberg;31
;;;Fischer;Poul-Ludwig;1946;FDP;;Rheinland-Pfalz;17
;;;Fischer;Roland;1961;SPD;221;Bayern;35
;;;Fischer;Werner;1955;;257;;
;;;Fischinger;Jürgen;1956;NPD;282;;
;;;Fitzek;Peter;1965;;71;;
;;;Flach;Ulrike;1951;FDP;119;Nordrhein-Westfalen;6
;;;Flachsbarth;Dr. Maria Franziska;1963;CDU;48;Niedersachsen;6
;;;Flachshaar;Daniel;1976;PIRATEN;;Thüringen;2
;;;Fleck;Dr. Helmut;1938;Volksabst.;98;Nordrhein-Westfalen;1
;;;Fleischer;Hermann;1950;DIE LINKE;50;Niedersachsen;27
;;;Flöge;Holger;1956;FDP;46;Niedersachsen;29
;;;Flosbach;Klaus-Peter;1952;CDU;100;Nordrhein-Westfalen;34
;;;Flügge;Thomas;1974;SPD;;Niedersachsen;55
;;;Flug;Stephan;1967;NPD;149;Nordrhein-Westfalen;17
;;;Fobo;Matthias;1961;GRÜNE;65;;
;;;Förster;Bert-Rüdiger;1942;REP;180;Hessen;2
;;;Förster-Heldmann;Hildegard;1958;GRÜNE;;Hessen;21
;;;Förstermann;Frank;1964;CDU;;Baden-Württemberg;59
;;;Föttinger;Verena;1956;ödp;;Baden-Württemberg;1
;;;Fograscher;Gabriele;1957;SPD;254;Bayern;14
;;;Forelle;Peter;1973;CDU;;Thüringen;11
;;;Forster;Manuela;1972;ödp;;Bayern;17
;;;Fortner;Josef;1960;ödp;223;;
;;;Frackowiak;Dr. Johannes;1968;FDP;195;Thüringen;4
;;;Franck;Sven Henri;1959;SPD;;Rheinland-Pfalz;18
;;;Frank;Hartmut;1953;;59;;
;;;Frank;Maria;1938;;220;;
;;;Franke;Dr. Edgar;1960;SPD;171;Hessen;7
;;;Frankenfeld;Philipp;1971;FDP;231;Bayern;45
;;;Frankenhauser;Herbert;1945;CSU;219;Bayern;18
;;;Franz;Frank;1978;NPD;298;Saarland;1
;;;Franz;Markus;1963;CDU;;Saarland;13
;;;Franz;Uwe;1962;SPD;;Rheinland-Pfalz;24
;;;Franzke;Manfred;1952;;217;;
;;;Frechen;Gabriele;1956;SPD;92;Nordrhein-Westfalen;37
;;;Frederking;Dorothea;1964;GRÜNE;70;Sachsen-Anhalt;5
;;;Freimuth;Jürgen;1954;ödp;;Rheinland-Pfalz;11
;;;Freitag;Dagmar;1953;SPD;151;Nordrhein-Westfalen;7
;;;Freitag;Reinhard;1961;FDP;280;Baden-Württemberg;33
;;;Frentzen;Manfred;1948;NPD;110;;
;;;Freudenberger;Erich;1971;PBC;249;Bayern;9
;;;Freudenstein;Astrid;1973;CSU;;Bayern;28
;;;Freudigmann;Klaus;1942;MLPD;;Berlin;6
;;;Fricke;Elvira-Anna;1934;MLPD;;Sachsen-Anhalt;9
;;;Fricke;Otto;1965;FDP;111;Nordrhein-Westfalen;7
;;;Fricke;Sebastian;1974;GRÜNE;6;Schleswig-Holstein;10
;;;Fricker;Sabine;1957;MLPD;;Saarland;2
;;;Fridgen;Markus Paul Felix;1975;NPD;213;;
;;;Friedemann;Carolin;1981;GRÜNE;42;Niedersachsen;13
;;;Friedhoff;Paul Klemens;1943;FDP;113;Nordrhein-Westfalen;12
;;;Friedhoff;Peter;1970;FDP;33;Niedersachsen;16
;;;Friedl;Patrick;1970;GRÜNE;251;;
;;;Friedrich;Dr. Hans-Peter;1957;CSU;239;Bayern;14
;;;Friedrich;Peter;1972;SPD;287;Baden-Württemberg;9
;;;Friedrich;Thomas;1955;ödp;;Bayern;18
;;;Friedrichs;Hans-Christian;1964;GRÜNE;37;;
;;;Friemann-Jennert;Maika;1964;CDU;;Mecklenburg-Vorpommern;9
;;;Frieser;Michael;1964;CSU;245;Bayern;16
;;;Frigger;Urs Fabian;1984;FDP;147;Nordrhein-Westfalen;41
;;;Frings;Dr. Benedikt;1957;NPD;94;;
;;;Frister;Jörg;1977;FDP;;Rheinland-Pfalz;15
;;;Fritsch;Kerstin;1962;NPD;283;;
;;;Fritsche;Nicole;1979;DIE LINKE;218;Bayern;7
;;;Fritz;Erich Georg;1946;CDU;144;Nordrhein-Westfalen;19
;;;Fritzen;Maria-Elisabeth;1962;GRÜNE;9;;
;;;Fröhlich;Jakobus;1945;MLPD;140;;
;;;Fröhlich;Josephine;1984;NPD;176;;
;;;Fröhlich;Patrick;1981;CSU;;Bayern;42
;;;Fröhlich-Abrecht;Ulrich;1974;CDU;;Hessen;41
;;;Frohn;Christa;1955;DIE LINKE;90;;
;;;Fromm;Gabi;1951;SPD;;Saarland;30
;;;Fromme;Jochen-Konrad;1949;CDU;50;Niedersachsen;11
;;;Frummet;Ferdinand;1951;RRP;233;Bayern;7
;;;Fuchs;Klaus;1954;MLPD;71;Sachsen-Anhalt;5
;;;Fuchs;Dr. Michael;1949;CDU;200;Rheinland-Pfalz;8
;;;Fuchtel;Hans-Joachim;1952;CDU;280;;
;;;Fürst;Gabriel;1978;CDU;;Baden-Württemberg;58
;;;Fürter;Alexander;1970;FDP;;Bayern;54
;;;Füßmann;Klaus-Wilhelm;1957;FDP;142;Nordrhein-Westfalen;37
;;;Fuest;Michael;1955;GRÜNE;32;Niedersachsen;14
;;;Fütterer;Gerald Paul;1957;ödp;;Thüringen;12
;;;Funk;Alexander;1974;CDU;299;Saarland;4
;;;Funk;Reinhard;1958;MLPD;;Niedersachsen;5
;;;Funke;Madeleine;1963;CDU;;Hessen;40
;;;Furch;Holger;1985;PIRATEN;;Nordrhein-Westfalen;2
;;;Gaba;Irina;1988;BP;;Bayern;19
;;;Gabling;Martin;1962;NPD;229;Bayern;3
;;;Gabriel;Sigmar;1959;SPD;50;Niedersachsen;24
;;;Gädechens;Ingo;1960;CDU;9;Schleswig-Holstein;9
;;;Gärtner;Gabriele;1977;MLPD;;Nordrhein-Westfalen;1
;;;Gärtner;Joachim;1948;MLPD;;Hessen;7
;;;Gärtner;Johann;1950;REP;;Bayern;1
;;;Gärtner;Matthias;1984;NPD;70;Sachsen-Anhalt;5
;;;Gärtner-Engel;Monika Ruth;1952;MLPD;;Nordrhein-Westfalen;5
;;;Gärtner-Leymann;Annegret;1977;MLPD;141;Nordrhein-Westfalen;16
;;;Gärttner;Siegfried;1946;NPD;271;;
;;;Gäthje;Uwe;1940;RRP;56;Bremen;1
;;;Gagliardi;Giuliano;1988;;289;;
;;;Gahler;Dr. Wolfgang;1948;;72;;
;;;Gaisenkersting;Dietmar;1967;PSG;;Nordrhein-Westfalen;1
;;;Gajek;Silke;1962;GRÜNE;13;Mecklenburg-Vorpommern;2
;;;Gallas;Dr. Klaus Olaf Hagen;1941;SPD;;Thüringen;13
;;;Galle;Ronald;1957;BüSo;;Sachsen;9
;;;Galwas;Marc;1970;DKP;;Berlin;16
;;;Gambke;Dr. Thomas;1949;GRÜNE;228;Bayern;8
;;;Gantz;Oliver;1981;CDU;;Schleswig-Holstein;24
;;;Gasser;Wilhelm;1960;PIRATEN;;Bayern;3
;;;Gatermann;Harald Wilhelm;1955;DIE LINKE;;Bremen;4
;;;Gauderer;Ulrike;1971;GRÜNE;;Hessen;7
;;;Gauger;Reiner;1962;CDU;;Baden-Württemberg;13
;;;Gaumann;Dr. Horst;1965;FDP;34;Niedersachsen;20
;;;Gauweiler;Dr. Peter;1949;CSU;220;;
;;;Gebhart;Dr. Thomas;1971;CDU;212;Rheinland-Pfalz;11
;;;Gehb;Dr. Jürgen;1952;CDU;169;Hessen;9
;;;Gehrcke-Reymann;Wolfgang;1943;DIE LINKE;183;Hessen;2
;;;Gehring;Kai Boris;1977;GRÜNE;121;Nordrhein-Westfalen;10
;;;Geis;Norbert;1939;CSU;247;;
;;;Geisel;Andreas Werner;1966;SPD;87;;
;;;Geisen;Dr. Edmund Peter;1949;FDP;203;Rheinland-Pfalz;4
;;;Gensichen;Hans-Christoph;1933;PBC;;Rheinland-Pfalz;2
;;;Gentsch;Patrick;1976;NPD;166;;
;;;George;Sven;1985;DKP;;Berlin;5
;;;Georgiou;Gabriele;1955;MLPD;;Bremen;2
;;;Gerber;Christian;1985;GRÜNE;188;;
;;;Gerdes;Michael;1960;SPD;126;Nordrhein-Westfalen;51
;;;Gerhardt;Dr. Klaus-Uwe;1955;GRÜNE;185;Hessen;16
;;;Gerhardt;Dr. Wolfgang;1943;FDP;179;Hessen;1
;;;Gerig;Alois;1956;CDU;276;;
;;;Gersch;Kai;1971;FDP;79;Berlin;5
;;;Gerster;Martin;1971;SPD;292;Baden-Württemberg;12
;;;Geß;Waltraud;1965;CM;;Bayern;8
;;;Gessinger;Joachim;1945;GRÜNE;61;Brandenburg;4
