Nr;SPD;;CDU;;FDP;;DIE LINKE;;GRÜNE;;CSU;;NPD;;REP;;FAMILIE;;Die Tierschutzpartei;;PBC;;MLPD;;BüSo;;BP;;PSG;;Volksabstimmung;;ZENTRUM;;ADM;;CM;;DKP;;DVU;;DIE VIOLETTEN;;FWD;;ödp;;PIRATEN;;RRP;;RENTNER;;Freie Union
35;52397;41979;53080;45908;10787;17889;12242;13830;12318;17053;;;2417;1981;;;;;;1228;;;;24;;;;;;;;;;;;;;;;;;187;;;;;;152;;2339;;976;;;
36;42395;33279;48344;42324;9895;16930;8366;9759;9101;12155;;;2138;1825;;;;;;1172;;;;22;;;;;;;;;;;;;;;;;;167;;;;;;133;;2252;;597;;;
37;45002;36139;59657;50104;15812;24967;9611;10825;13772;18002;;;1935;1636;;;;;;1132;;;;33;;;;;;;;;;;;;;;;;;177;;;;;;238;;2963;1153;1150;;;
38;40411;32321;43229;37291;11242;16323;11935;13166;19645;23543;;;1860;1594;;;;;;1002;;;;32;;;;;;;;;;;;;;;;;;135;;;;;;194;;2795;1449;1704;;;
39;46028;37936;63175;55599;12940;21117;9006;10211;10393;13227;;;1382;1243;;;;;;854;;;;26;;;;;;;;;;;;;;;;;;120;;;;;;190;;2268;;486;;;
40;46979;38000;54522;48398;14823;19941;9918;11878;14282;18463;;;945;848;;;;;;880;;;;18;;;;;;;;;;;;;;;;;;88;;;;;;216;;3168;;443;;;
41;58649;46797;52714;45750;8712;17698;8797;10847;10217;13815;;;2036;1858;;;;;;1079;;;;42;;;;;;;;;;;;;;;;;;147;;;;;;183;;2454;;1352;;;
42;50592;40497;42621;34448;9699;16680;10624;12111;13364;19019;;;1759;1681;;;;;;1081;;;176;88;;;;;;;;;;;;;;;;;;118;;;;;;190;;3102;978;973;;;
43;55068;41482;44534;33872;8657;16098;12886;14786;15797;24705;;;1573;1411;;;;;;1106;;;;137;;;;;;;;;;;;;;;;;;122;;;;;;221;;4368;;887;;;
44;67178;53236;66311;58219;14560;24492;11173;12601;11642;16993;;;2642;2288;;;;;;1362;;;;46;;;;;;;;;;;;;;;;;;179;;;;;;301;;3137;;1139;;;
45;50107;42402;68572;55393;11351;22295;10130;11765;10801;14770;;;2501;2291;;;;;;1130;;;;40;;;;;;;;;;;;;;;;;;180;;;;;;190;;2957;1684;2023;;;
46;64365;52292;58827;53085;10073;17875;11663;13314;9476;14217;;;2029;1882;;;;;;1297;838;;;41;;;;;;;;;;;;;;;;;;155;;;;;;181;;3359;1346;1497;;;
47;55842;47115;49787;41166;10401;19736;11820;12911;10849;13322;;;2283;1982;;;;;;1285;;;;53;;;;;;;;;;;;;;;;;;146;;;;;;130;;2571;;820;;;
48;73215;59493;65573;57144;12982;22004;11976;13908;12533;18936;;;2853;2534;;;;;;1513;;;;53;;;;;;;;;;;;;;;;;;181;;;;;;248;;3528;1422;1767;;;
49;64555;54487;60376;52747;10231;18752;11402;13429;14856;17360;;;2606;2452;;;;;;1405;;;;52;;;;;;;;;;;;;;;;;;152;;;;;;171;;3191;1293;1520;;;
50;69631;53144;50519;47719;9436;16479;12538;15569;9032;13744;;;2791;2490;;;;;;1334;;;;34;;;;;;;;;;;;;;;;;;186;;;;;;129;;2812;1163;1771;;;
51;53572;39774;47584;40135;7507;15845;10801;13763;12012;19831;;;1310;1324;;;;;;1114;;;118;77;;;;;;;;;;;;;;;;;;134;;;;;;184;4214;4962;;1270;;;
52;46064;42391;52427;45319;8480;14114;10216;11309;10692;11801;;;3023;2606;;;;;;1176;415;;;46;;;;;;;;;;;;;;;;;;101;;;;;;112;;2905;1748;1591;;;
53;60107;50912;54451;46256;12719;21481;14083;14988;9624;12983;;;2599;2352;;;;;;1247;;;;27;;;;;;;;;;;;;;;;;;131;;;;;;144;;2787;;866;;;
54;60483;48788;56503;47343;10765;22086;12493;14635;21360;23708;;;2323;2072;;;;;;1176;;;;58;;;;;;;;;;;;;;;;;;115;;;;;;195;;3707;;724;;;
55;62588;52387;53255;46284;13587;21021;21226;24883;31564;32556;;;2012;1567;;247;;;;;;458;343;133;;;;;;;;;;;;;;;;;;373;;;;;;;;4564;;1617;;;
56;58879;50032;39186;34680;10850;14947;21647;23486;16985;19727;;;2614;2045;;330;;;;;;397;;83;;;;;;;;;;;;;;;;;;657;;;;;;;;3610;1563;2527;;;
57;33532;29446;22851;24913;8162;9068;32198;30550;4483;4587;;;3314;2494;;170;;;;;;;;84;;153;;;;;;;;;;;;;;;;875;;;;828;;;;1829;;;;;
58;27674;26761;26512;24524;6396;7907;32791;31833;4385;4762;;;3945;3139;;191;;;;;;;;106;;189;;;;;;;;;;;;;;;;745;;;;687;;;;1960;;;;;
59;48621;42959;46088;41575;12963;19163;40334;38980;12193;12974;;;5400;4153;;478;;;;;;;;181;;377;;;;;;;;;;;;;;;;1305;;;;1299;;;;3891;;;;;
60;38441;36544;39863;36583;11115;15311;62523;56938;8181;10211;;;6069;4365;;419;;;;;;;;209;;327;;;;;;;;;;;;;;;;2140;;;;1730;;;;4515;;;;;
61;40957;34451;30733;29834;7328;9992;35484;35643;4771;6047;;;3764;3013;;172;;;;;;;;151;;199;;;;;;;;;;;;;;;;1163;;;;807;;;;3093;;;;;
62;48720;44450;40708;36600;12356;17986;48515;43354;16479;18279;;;3061;2129;;269;;;;;;;;202;;345;;;;;;;;;;;;;;;;939;;;;942;;;;5171;;;;;
63;53384;42834;40882;39092;11959;16102;43348;44923;9041;9912;;;5992;4711;;368;;;;;;;;162;;397;;;;;;;;;;;;;;;;1255;;;;1352;;;;4357;;;;;
64;38470;32750;30153;30506;10125;12018;43589;42581;7502;7464;;;4928;3788;;395;;;;;;;;210;;374;;;;;;;;;;;;;;;;1052;;;;1108;;;;3385;;;;;
65;34529;29999;29829;30360;10878;11230;37224;36561;5650;6093;;;4806;3765;;344;;;;;;;;179;;258;;;;;;;;;;;;;;;;1169;;;;1055;;;;3636;;;;;
66;32688;28022;35073;33467;8487;10865;34324;34203;3861;4238;;;5513;3839;;278;;;;;;;;137;;270;;;;;;;;;;;;;;;;2399;;;;1435;;;;2995;;;;;915
