196 Sonneberg – Saalfeld-Rudolstadt – Saale-Orla-Kreis;Krauß, A;934
202 Kreuznach;Jansen, F;801
209 Neustadt – Speyer;Kunz, V;1283
212 Südpfalz;Dietert, E;1197
212 Südpfalz;Berger, W;728
214 Erding – Ebersberg;Porray, M;327
216 Fürstenfeldbruck;Acker, R;793
217 Ingolstadt;Franzke, M;466
218 München-Nord;Utz, H;1285
219 München-Ost;Karcher, T;839
220 München-Süd;Frank, M;617
220 München-Süd;Steinmeyer, S;1167
221 München-West/Mitte;Mertel, R;248
221 München-West/Mitte;Blechschmidt, T;979
221 München-West/Mitte;Landauer, P;652
226 Weilheim;Siade, W;598
226 Weilheim;Herz, M;725
231 Straubing;Kanneder, H;602
234 Schwandorf;Kiehl, R;556
234 Schwandorf;Späth, A;950
235 Weiden;Dippel, K;17196
236 Bamberg;Lamprecht, M;303
238 Coburg;Häßler, M;342
239 Hof;Wunderlich, H;650
241 Ansbach;Dorst, B;692
242 Erlangen;Schramm, I;281
248 Bad Kissingen;Schätzlein, H;712
250 Schweinfurt;Rückert, A;526
251 Würzburg;Holl, M;742
252 Augsburg-Stadt;Mangold-Nitzschmann, M;846
254 Donau-Ries;Lemmermeier, S;297
257 Ostallgäu;Stephan, M;263
257 Ostallgäu;Fischer, W;1125
266 Neckar-Zaber;Mackert, R;1095
266 Neckar-Zaber;Winkler, M;346
268 Schwäbisch Hall – Hohenlohe;Lange, H;1004
269 Backnang – Schwäbisch Gmünd;Riebsam, M;311
270 Aalen – Heidenheim;Nass, J;1567
271 Karlsruhe-Stadt;Ringger, H;101
271 Karlsruhe-Stadt;Leyendecker, R;215
272 Karlsruhe-Land;Zundel, P;506
275 Mannheim;Ulusoy, S;311
284 Offenburg;Hense, N;594
284 Offenburg;Sälinger, W;264
284 Offenburg;Eckert, M;172
288 Waldshut;Greb, G;349
289 Reutlingen;Matheis, R;436
289 Reutlingen;Gagliardi, G;351
290 Tübingen;Schade, S;1075
291 Ulm;Beier, A;2329
291 Ulm;Schönbeck, F;229
292 Biberach;Baer, P;414
294 Ravensburg;Scheinert, K;1048
295 Zollernalb – Sigmaringen;Löffler, O;2431
