5 Kiel;Hohmann, G;87
6 Plön – Neumünster;Schepke, F;319
10 Herzogtum Lauenburg – Stormarn-Süd;Heimann, W;447
12 Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;Ahlgrim, B;102
12 Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;Falk, B;124
14 Rostock – Landkreis Rostock II;Wiechmann, S;2509
15 Vorpommern-Rügen – Vorpommern-Greifswald I;Adomeit, M;1390
18 Hamburg-Mitte;Füsers, S;661
18 Hamburg-Mitte;Jasinski, R;154
19 Hamburg-Altona;Fiedler, J;505
20 Hamburg-Eimsbüttel;Scheffler, M;1469
23 Hamburg-Bergedorf – Harburg;Reher, J;331
25 Unterems;Lükensmeier, R;587
33 Diepholz – Nienburg I;Gums, R;616
51 Helmstedt – Wolfsburg;Hönig, G;569
52 Goslar – Northeim – Osterode;Baumelt, L;269
56 Prignitz – Ostprignitz-Ruppin – Havelland I;Rieger, H;1625
56 Prignitz – Ostprignitz-Ruppin – Havelland I;Krebs, M;1531
56 Prignitz – Ostprignitz-Ruppin – Havelland I;Kayser, J;336
58 Oberhavel – Havelland II;Peschel, E;895
59 Märkisch-Oderland – Barnim II;Büttner, R;701
59 Märkisch-Oderland – Barnim II;Focken, C;493
60 Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;Rödiger, T;620
61 Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;Müller, E;500
61 Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;Hörstel, C;719
61 Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;Hercher, R;1243
64 Cottbus – Spree-Neiße;Neskovic, W;9999
65 Elbe-Elster – Oberspreewald-Lausitz II;Jonik, K;540
67 Börde – Jerichower Land;Buch, T;696
72 Halle;Bauersfeld, M;1325
73 Burgenland – Saalekreis;Jaschkowski, E;442
74 Mansfeld;Pap, C;881
75 Berlin-Mitte;Boes, R;1053
75 Berlin-Mitte;Sylla, F;347
77 Berlin-Reinickendorf;Ditsche, F;694
80 Berlin-Charlottenburg-Wilmersdorf;Fricke, W;204
83 Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;Di Leo, F;674
83 Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;Beckmann, M;486
85 Berlin-Marzahn-Hellersdorf;Otto, A;499
86 Berlin-Lichtenberg;Snelinski, O;1219
90 Düren;Babatankuz, M;196
99 Oberbergischer Kreis;Staratschek, F;354
100 Rheinisch-Bergischer Kreis;Voss, K;446
120 Essen III;Gramm, J;570
122 Recklinghausen II;Surmann, U;1006
129 Münster;Seemann, H;324
133 Herford – Minden-Lübbecke II;Rein, H;441
135 Lippe I;Teschke, D;664
135 Lippe I;Gutsch, A;565
136 Höxter – Lippe II;Köhler, J;703
137 Paderborn – Gütersloh III;Tegethof, H;468
142 Dortmund I;Meyer, I;188
156 Bautzen I;Merz, E;2024
156 Bautzen I;Nitzsche, H;2986
159 Dresden I;Klawun, W;265
167 Waldeck;Bracht, W;545
168 Kassel;Stolte, H;845
172 Lahn-Dill;Rentzos, A;541
173 Gießen;Klis, P;724
183 Frankfurt am Main II;Paris, M;4682
196 Sonneberg – Saalfeld-Rudolstadt – Saale-Orla-Kreis;Meißner, W;1053
202 Kreuznach;Jansen, F;895
221 München-West/Mitte;Mertel, R;232
223 Rosenheim;Bauer, S;226
233 Regensburg;Mühlbauer, G;393
235 Weiden;Human, K;204
235 Weiden;Dippel, K;5181
244 Nürnberg-Nord;Pfleiderer, W;193
247 Aschaffenburg;Normann, J;466
257 Ostallgäu;Fischer, W;660
258 Stuttgart I;Gäbel, H;84
258 Stuttgart I;Schweizer, F;1472
258 Stuttgart I;Ressdorf, W;76
259 Stuttgart II;Eckstein, C;951
273 Rastatt;Degler, A;760
281 Freiburg;Kissel, M;1800
281 Freiburg;Verweyen, N;48
286 Schwarzwald-Baar;Kauder, S;3579
289 Reutlingen;Matheis, R;964
291 Ulm;Beier, A;1348
294 Ravensburg;Kanis, P;323
